M,K,N,error
10000,1,10000,86.21265446739402
100000,1,10000,9.45525326866048
1000000,1,10000,2.1171132655597074
10000,3,10000,81.42492398405462
100000,3,10000,1.7393374910019175
1000000,3,10000,0.0038001425053439506
10000,5,10000,88.74190222165049
100000,5,10000,1.533663608544333
1000000,5,10000,5.0002400115205535E-5
